Tag,Context,Sender Frequency,Behavior Novelty,Total Score
Empathic Response,Cross-Department Recognition,Occasional Sender,New Behavior,12.3
Empathic Response,Cross-Department Recognition,Rare Sender,Recently Credited,12.0
Empathic Response,Cross-Department Recognition,Rare Sender,New Behavior,12.5
Behind-the-Scenes Effort,Low-Stress Peer,Frequent Sender,Recently Credited,10.14
Behind-the-Scenes Effort,Low-Stress Peer,Frequent Sender,New Behavior,10.64
Behind-the-Scenes Effort,Low-Stress Peer,Occasional Sender,Recently Credited,10.34
Behind-the-Scenes Effort,Low-Stress Peer,Occasional Sender,New Behavior,10.84
Behind-the-Scenes Effort,Low-Stress Peer,Rare Sender,Recently Credited,10.54
Behind-the-Scenes Effort,Low-Stress Peer,Rare Sender,New Behavior,11.04
Behind-the-Scenes Effort,High-Stress Peer,Frequent Sender,Recently Credited,10.64
Behind-the-Scenes Effort,High-Stress Peer,Frequent Sender,New Behavior,11.14
Behind-the-Scenes Effort,High-Stress Peer,Occasional Sender,Recently Credited,10.84
Behind-the-Scenes Effort,High-Stress Peer,Occasional Sender,New Behavior,11.34
Behind-the-Scenes Effort,High-Stress Peer,Rare Sender,Recently Credited,11.04
Behind-the-Scenes Effort,High-Stress Peer,Rare Sender,New Behavior,11.54
Behind-the-Scenes Effort,Manager-to-Direct Report,Frequent Sender,Recently Credited,10.34
Behind-the-Scenes Effort,Manager-to-Direct Report,Frequent Sender,New Behavior,10.84
Behind-the-Scenes Effort,Manager-to-Direct Report,Occasional Sender,Recently Credited,10.54
Behind-the-Scenes Effort,Manager-to-Direct Report,Occasional Sender,New Behavior,11.04
Behind-the-Scenes Effort,Manager-to-Direct Report,Rare Sender,Recently Credited,10.74
Behind-the-Scenes Effort,Manager-to-Direct Report,Rare Sender,New Behavior,11.24
Behind-the-Scenes Effort,Cross-Department Recognition,Frequent Sender,Recently Credited,10.44
Behind-the-Scenes Effort,Cross-Department Recognition,Frequent Sender,New Behavior,10.94
Behind-the-Scenes Effort,Cross-Department Recognition,Occasional Sender,Recently Credited,10.64
Behind-the-Scenes Effort,Cross-Department Recognition,Occasional Sender,New Behavior,11.14
Behind-the-Scenes Effort,Cross-Department Recognition,Rare Sender,Recently Credited,10.84
Behind-the-Scenes Effort,Cross-Department Recognition,Rare Sender,New Behavior,11.34
